nitrogen,potassium,phosphorus,temperature,humidity,moisture,crop,soil_type,fertilizer_name,ph,organic_carbon,region,date,ec,nitrogen_is_zero,nitrogen_was_missing,phosphorus_is_zero,phosphorus_was_missing,potassium_is_zero,potassium_was_missing
24,0,21,27.55,50.87,37.69,Wheat,Loamy,14-35-14,,,,,,0,0,0,0,1,0
11,8,25,27.26,62.16,33.59,Barley,Black,28-28,,,,,,0,0,0,0,0,0
13,1,44,24.69,55.52,22.39,Ground Nuts,Clayey,14-35-14,,,,,,0,0,0,0,0,0
37,0,0,33.35,65.13,26.44,Wheat,Clayey,14-35-14,,,,,,0,0,1,0,1,0
25,4,20,33.4,49.71,50.01,Sugarcane,Clayey,20-20,,,,,,0,0,0,0,0,0
2,8,32,32.29,62.66,37.32,Barley,Clayey,Urea,,,,,,0,0,0,0,0,0
22,0,23,23.18,59.48,46.95,Sugarcane,Sandy,Urea,,,,,,0,0,0,0,1,0
35,1,0,37.6,61.35,36.62,Barley,Red,14-35-14,,,,,,0,0,1,0,0,0
5,6,32,34.08,67.3,66.45,Wheat,Black,Urea,,,,,,0,0,0,0,0,0
12,4,5,33.39,58.29,46.97,Wheat,Black,Urea,,,,,,0,0,0,0,0,0
20,0,25,31.97,56.43,38.33,Ground Nuts,Red,DAP,,,,,,0,0,0,0,1,0
14,0,11,29.39,52.92,44.26,Sugarcane,Red,10-26-26,,,,,,0,0,0,0,1,0
33,0,1,28.99,57.8,41.7,Wheat,Black,DAP,,,,,,0,0,0,0,1,0
17,0,22,31.7,60.31,42.96,Barley,Loamy,20-20,,,,,,0,0,0,0,1,0
11,9,29,28.82,62.02,40.63,Maize,Clayey,14-35-14,,,,,,0,0,0,0,0,0
10,12,31,27.04,53.79,60.68,Millets,Black,DAP,,,,,,0,0,0,0,0,0
18,0,27,28.31,66.5,29.81,Millets,Clayey,20-20,,,,,,0,0,0,0,1,0
27,2,19,27.83,55.13,30.2,Wheat,Loamy,14-35-14,,,,,,0,0,0,0,0,0
2,17,12,30.04,58.87,38.82,Paddy,Clayey,28-28,,,,,,0,0,0,0,0,0
6,0,15,35.85,70.43,52.65,Wheat,Black,20-20,,,,,,0,0,0,0,1,0
38,0,4,32.69,55.16,54.36,Paddy,Red,28-28,,,,,,0,0,0,0,1,0
38,0,2,32.87,55.38,34.81,Maize,Loamy,20-20,,,,,,0,0,0,0,1,0
6,7,31,33.54,64.83,36.55,Barley,Clayey,10-26-26,,,,,,0,0,0,0,0,0
37,3,4,30.85,62.67,70.0,Maize,Loamy,28-28,,,,,,0,0,0,0,0,0
1,19,12,31.2,58.13,55.28,Maize,Clayey,20-20,,,,,,0,0,0,0,0,0
22,0,17,30.08,70.01,35.0,Sugarcane,Clayey,20-20,,,,,,0,0,0,0,1,0
7,5,27,30.41,57.18,58.29,Paddy,Red,28-28,,,,,,0,0,0,0,0,0
45,1,2,29.58,55.83,32.4,Sugarcane,Sandy,17-17-17,,,,,,0,0,0,0,0,0
25,0,25,24.66,51.66,45.41,Wheat,Black,14-35-14,,,,,,0,0,0,0,1,0
10,3,13,26.95,47.7,20.39,Ground Nuts,Clayey,17-17-17,,,,,,0,0,0,0,0,0
7,7,16,26.25,56.03,69.41,Sugarcane,Sandy,10-26-26,,,,,,0,0,0,0,0,0
24,0,15,26.88,54.41,28.3,Maize,Clayey,10-26-26,,,,,,0,0,0,0,1,0
37,4,0,38.72,72.63,44.83,Paddy,Black,14-35-14,,,,,,0,0,1,0,0,0
2,9,33,29.2,55.04,68.65,Millets,Loamy,20-20,,,,,,0,0,0,0,0,0
37,3,4,24.84,54.15,44.72,Maize,Clayey,10-26-26,,,,,,0,0,0,0,0,0
8,1,10,31.87,61.74,41.71,Sugarcane,Sandy,Urea,,,,,,0,0,0,0,0,0
17,0,12,33.82,72.77,45.9,Paddy,Sandy,17-17-17,,,,,,0,0,0,0,1,0
39,0,0,40.0,66.66,43.95,Millets,Black,28-28,,,,,,0,0,1,0,1,0
11,0,40,23.32,51.38,36.32,Paddy,Clayey,20-20,,,,,,0,0,0,0,1,0
8,4,13,35.78,74.8,29.82,Ground Nuts,Black,28-28,,,,,,0,0,0,0,0,0
8,4,27,28.48,54.42,23.99,Maize,Red,20-20,,,,,,0,0,0,0,0,0
44,0,0,32.1,66.19,31.38,Paddy,Clayey,28-28,,,,,,0,0,1,0,1,0
10,2,9,26.47,52.11,39.99,Sugarcane,Black,DAP,,,,,,0,0,0,0,0,0
38,0,0,25.28,45.69,24.19,Sugarcane,Loamy,17-17-17,,,,,,0,0,1,0,1,0
8,9,30,31.12,58.29,37.01,Ground Nuts,Clayey,Urea,,,,,,0,0,0,0,0,0
22,4,19,27.26,62.29,46.78,Paddy,Sandy,10-26-26,,,,,,0,0,0,0,0,0
36,0,1,35.75,63.57,38.89,Barley,Loamy,28-28,,,,,,0,0,0,0,1,0
5,17,14,25.55,63.42,27.81,Paddy,Loamy,DAP,,,,,,0,0,0,0,0,0
21,4,18,28.63,52.84,34.25,Maize,Clayey,14-35-14,,,,,,0,0,0,0,0,0
10,0,41,32.94,72.52,37.15,Barley,Sandy,17-17-17,,,,,,0,0,0,0,1,0
12,2,11,22.27,40.25,63.8,Sugarcane,Clayey,10-26-26,,,,,,0,0,0,0,0,0
15,0,38,33.02,49.45,31.28,Barley,Black,10-26-26,,,,,,0,0,0,0,1,0
13,3,35,30.45,57.02,53.78,Sugarcane,Sandy,17-17-17,,,,,,0,0,0,0,0,0
12,4,41,37.66,55.23,31.77,Maize,Clayey,17-17-17,,,,,,0,0,0,0,0,0
23,0,16,32.13,55.38,43.65,Sugarcane,Black,Urea,,,,,,0,0,0,0,1,0
33,0,0,36.31,62.76,31.8,Wheat,Sandy,20-20,,,,,,0,0,1,0,1,0
8,0,41,30.0,48.39,24.07,Maize,Clayey,14-35-14,,,,,,0,0,0,0,1,0
8,14,13,23.74,48.91,62.89,Paddy,Sandy,28-28,,,,,,0,0,0,0,0,0
38,0,0,22.61,51.15,40.5,Barley,Sandy,Urea,,,,,,0,0,1,0,1,0
23,0,26,22.26,58.83,33.35,Millets,Red,10-26-26,,,,,,0,0,0,0,1,0
15,3,9,27.42,50.44,30.86,Millets,Loamy,10-26-26,,,,,,0,0,0,0,0,0
3,10,28,32.77,60.55,61.77,Sugarcane,Clayey,20-20,,,,,,0,0,0,0,0,0
24,3,20,28.08,58.59,44.33,Millets,Red,14-35-14,,,,,,0,0,0,0,0,0
14,0,35,38.07,67.05,32.47,Wheat,Sandy,20-20,,,,,,0,0,0,0,1,0
36,0,0,25.38,57.54,70.0,Barley,Black,Urea,,,,,,0,0,1,0,1,0
14,4,45,22.05,52.83,36.27,Sugarcane,Red,20-20,,,,,,0,0,0,0,0,0
39,0,0,29.42,56.7,47.96,Maize,Black,10-26-26,,,,,,0,0,1,0,1,0
22,0,28,29.51,56.65,41.98,Millets,Loamy,DAP,,,,,,0,0,0,0,1,0
43,0,3,35.66,53.57,31.42,Ground Nuts,Sandy,17-17-17,,,,,,0,0,0,0,1,0
14,6,24,30.28,53.79,45.41,Ground Nuts,Black,DAP,,,,,,0,0,0,0,0,0
21,0,20,33.46,60.18,43.06,Maize,Black,17-17-17,,,,,,0,0,0,0,1,0
16,0,15,22.05,46.19,28.77,Ground Nuts,Clayey,28-28,,,,,,0,0,0,0,1,0
9,0,11,32.0,69.37,40.63,Millets,Red,14-35-14,,,,,,0,0,0,0,1,0
7,0,11,28.35,55.27,47.18,Barley,Loamy,20-20,,,,,,0,0,0,0,1,0
12,0,35,36.17,70.81,32.25,Sugarcane,Clayey,17-17-17,,,,,,0,0,0,0,1,0
18,2,16,28.12,49.45,37.57,Sugarcane,Sandy,DAP,,,,,,0,0,0,0,0,0
42,0,3,31.84,54.29,26.55,Paddy,Loamy,20-20,,,,,,0,0,0,0,1,0
16,4,6,34.76,56.86,47.11,Wheat,Red,Urea,,,,,,0,0,0,0,0,0
11,3,32,30.08,49.47,60.63,Paddy,Black,20-20,,,,,,0,0,0,0,0,0
7,13,15,25.3,50.39,29.86,Sugarcane,Red,10-26-26,,,,,,0,0,0,0,0,0
8,4,36,29.65,55.27,57.09,Millets,Black,14-35-14,,,,,,0,0,0,0,0,0
13,0,6,28.53,57.4,65.78,Wheat,Clayey,17-17-17,,,,,,0,0,0,0,1,0
13,2,16,23.52,62.06,63.73,Wheat,Red,DAP,,,,,,0,0,0,0,0,0
8,19,11,30.8,59.23,32.46,Ground Nuts,Clayey,28-28,,,,,,0,0,0,0,0,0
22,0,22,34.33,61.6,35.53,Maize,Clayey,DAP,,,,,,0,0,0,0,1,0
43,0,3,25.38,61.44,49.36,Wheat,Sandy,DAP,,,,,,0,0,0,0,1,0
26,0,17,35.61,69.21,45.08,Sugarcane,Clayey,10-26-26,,,,,,0,0,0,0,1,0
10,7,32,26.38,57.12,57.3,Barley,Sandy,20-20,,,,,,0,0,0,0,0,0
22,4,20,33.29,64.15,33.58,Paddy,Loamy,20-20,,,,,,0,0,0,0,0,0
18,0,38,40.0,68.47,49.84,Maize,Red,10-26-26,,,,,,0,0,0,0,1,0
7,17,9,38.84,59.67,60.84,Paddy,Loamy,14-35-14,,,,,,0,0,0,0,0,0
11,1,7,31.42,54.93,41.21,Ground Nuts,Clayey,10-26-26,,,,,,0,0,0,0,0,0
16,0,8,31.94,52.61,58.38,Millets,Loamy,Urea,,,,,,0,0,0,0,1,0
37,0,1,28.61,59.13,22.9,Sugarcane,Clayey,10-26-26,,,,,,0,0,0,0,1,0
10,3,13,33.41,53.69,63.42,Barley,Red,14-35-14,,,,,,0,0,0,0,0,0
33,0,0,29.76,60.63,45.62,Wheat,Black,28-28,,,,,,0,0,1,0,1,0
9,2,44,40.0,61.65,27.12,Ground Nuts,Red,DAP,,,,,,0,0,0,0,0,0
3,20,16,29.2,62.74,46.45,Maize,Black,28-28,,,,,,0,0,0,0,0,0
37,0,2,27.05,62.62,35.54,Millets,Loamy,Urea,,,,,,0,0,0,0,1,0
21,0,20,24.98,62.27,48.83,Maize,Clayey,14-35-14,,,,,,0,0,0,0,1,0
9,13,29,38.05,68.85,57.68,Wheat,Black,28-28,,,,,,0,0,0,0,0,0
38,2,0,32.47,67.69,65.89,Wheat,Loamy,28-28,,,,,,0,0,1,0,0,0
36,2,1,33.86,54.7,28.74,Ground Nuts,Sandy,17-17-17,,,,,,0,0,0,0,0,0
14,4,4,34.71,54.61,40.22,Sugarcane,Clayey,DAP,,,,,,0,0,0,0,0,0
20,0,22,37.76,58.09,57.42,Ground Nuts,Loamy,17-17-17,,,,,,0,0,0,0,1,0
11,0,45,35.18,74.22,33.33,Wheat,Sandy,10-26-26,,,,,,0,0,0,0,1,0
24,2,21,29.31,62.5,47.47,Ground Nuts,Red,17-17-17,,,,,,0,0,0,0,0,0
38,2,0,27.15,60.37,37.43,Wheat,Red,10-26-26,,,,,,0,0,1,0,0,0
27,1,23,25.93,53.67,42.39,Paddy,Clayey,Urea,,,,,,0,0,0,0,0,0
12,0,33,30.13,48.9,67.41,Paddy,Loamy,DAP,,,,,,0,0,0,0,1,0
17,0,35,31.28,61.86,62.26,Maize,Black,Urea,,,,,,0,0,0,0,1,0
14,10,15,28.76,40.17,64.52,Millets,Sandy,20-20,,,,,,0,0,0,0,0,0
10,0,9,27.83,49.73,58.42,Millets,Clayey,28-28,,,,,,0,0,0,0,1,0
19,0,17,22.65,53.84,38.27,Sugarcane,Sandy,10-26-26,,,,,,0,0,0,0,1,0
10,12,16,30.17,60.55,43.86,Sugarcane,Clayey,17-17-17,,,,,,0,0,0,0,0,0
11,2,35,34.6,69.2,49.03,Millets,Clayey,10-26-26,,,,,,0,0,0,0,0,0
10,0,41,24.45,57.16,37.8,Barley,Black,14-35-14,,,,,,0,0,0,0,1,0
13,0,9,26.37,62.64,41.83,Ground Nuts,Clayey,28-28,,,,,,0,0,0,0,1,0
20,2,22,36.73,55.27,32.64,Sugarcane,Loamy,Urea,,,,,,0,0,0,0,0,0
5,6,29,28.61,53.73,50.17,Millets,Clayey,DAP,,,,,,0,0,0,0,0,0
8,1,36,33.97,70.45,35.84,Sugarcane,Sandy,Urea,,,,,,0,0,0,0,0,0
12,0,17,32.51,57.48,30.67,Sugarcane,Sandy,28-28,,,,,,0,0,0,0,1,0
19,3,24,29.18,45.12,49.86,Ground Nuts,Clayey,20-20,,,,,,0,0,0,0,0,0
33,0,0,28.4,58.17,39.15,Paddy,Red,10-26-26,,,,,,0,0,1,0,1,0
26,0,26,34.28,67.15,39.35,Paddy,Red,14-35-14,,,,,,0,0,0,0,1,0
15,13,12,31.35,59.91,24.9,Sugarcane,Black,28-28,,,,,,0,0,0,0,0,0
34,0,0,32.56,55.34,46.86,Millets,Sandy,14-35-14,,,,,,0,0,1,0,1,0
8,4,25,34.65,63.66,47.3,Millets,Clayey,DAP,,,,,,0,0,0,0,0,0
40,0,4,30.12,51.7,31.85,Millets,Loamy,20-20,,,,,,0,0,0,0,1,0
7,11,29,37.03,72.04,29.53,Ground Nuts,Loamy,28-28,,,,,,0,0,0,0,0,0
40,0,0,32.53,62.34,30.4,Sugarcane,Clayey,10-26-26,,,,,,0,0,1,0,1,0
41,2,1,29.13,73.22,52.98,Sugarcane,Black,20-20,,,,,,0,0,0,0,0,0
37,2,0,28.23,56.74,28.06,Sugarcane,Clayey,20-20,,,,,,0,0,1,0,0,0
40,0,0,23.37,45.91,67.84,Sugarcane,Sandy,20-20,,,,,,0,0,1,0,1,0
40,0,3,26.83,54.4,41.76,Sugarcane,Loamy,20-20,,,,,,0,0,0,0,1,0
6,12,28,33.02,65.44,50.47,Wheat,Loamy,28-28,,,,,,0,0,0,0,0,0
23,0,22,31.59,71.2,27.7,Paddy,Black,28-28,,,,,,0,0,0,0,1,0
3,7,34,33.15,58.53,32.29,Sugarcane,Loamy,DAP,,,,,,0,0,0,0,0,0
15,0,8,26.27,48.43,36.14,Maize,Loamy,17-17-17,,,,,,0,0,0,0,1,0
15,0,36,24.59,47.16,21.81,Barley,Clayey,14-35-14,,,,,,0,0,0,0,1,0
11,0,17,24.59,59.0,58.71,Ground Nuts,Black,10-26-26,,,,,,0,0,0,0,1,0
11,10,36,27.09,50.45,54.43,Sugarcane,Loamy,Urea,,,,,,0,0,0,0,0,0
11,0,12,29.32,66.28,55.01,Sugarcane,Loamy,10-26-26,,,,,,0,0,0,0,1,0
8,9,14,25.75,55.81,39.52,Wheat,Clayey,DAP,,,,,,0,0,0,0,0,0
42,3,0,29.62,61.0,31.32,Maize,Black,14-35-14,,,,,,0,0,1,0,0,0
37,0,2,28.76,55.72,49.49,Millets,Black,10-26-26,,,,,,0,0,0,0,1,0
26,0,15,31.33,67.83,68.19,Barley,Sandy,17-17-17,,,,,,0,0,0,0,1,0
16,1,42,38.04,73.24,69.06,Barley,Loamy,20-20,,,,,,0,0,0,0,0,0
11,13,33,29.22,57.29,29.75,Wheat,Clayey,14-35-14,,,,,,0,0,0,0,0,0
26,3,25,30.67,66.76,52.32,Maize,Sandy,20-20,,,,,,0,0,0,0,0,0
6,19,18,30.39,54.66,40.53,Barley,Black,DAP,,,,,,0,0,0,0,0,0
12,0,39,24.04,54.47,46.62,Barley,Black,14-35-14,,,,,,0,0,0,0,1,0
9,1,35,36.53,60.86,45.04,Ground Nuts,Black,28-28,,,,,,0,0,0,0,0,0
21,1,16,23.6,54.64,32.83,Barley,Sandy,14-35-14,,,,,,0,0,0,0,0,0
14,4,43,28.95,45.51,33.51,Millets,Red,17-17-17,,,,,,0,0,0,0,0,0
7,8,34,28.75,60.69,32.81,Barley,Black,28-28,,,,,,0,0,0,0,0,0
9,3,32,35.11,67.01,48.64,Sugarcane,Black,14-35-14,,,,,,0,0,0,0,0,0
13,19,18,33.94,62.53,22.09,Barley,Black,DAP,,,,,,0,0,0,0,0,0
34,2,3,30.89,58.68,33.78,Maize,Sandy,DAP,,,,,,0,0,0,0,0,0
25,2,23,33.14,60.57,35.83,Barley,Red,17-17-17,,,,,,0,0,0,0,0,0
7,0,14,32.53,58.97,39.94,Ground Nuts,Red,10-26-26,,,,,,0,0,0,0,1,0
5,6,29,34.13,59.23,63.23,Sugarcane,Loamy,Urea,,,,,,0,0,0,0,0,0
13,0,7,30.53,65.11,53.95,Millets,Clayey,10-26-26,,,,,,0,0,0,0,1,0
13,12,18,26.0,66.36,26.96,Sugarcane,Clayey,14-35-14,,,,,,0,0,0,0,0,0
42,0,0,38.44,62.45,46.09,Ground Nuts,Red,17-17-17,,,,,,0,0,1,0,1,0
10,0,45,29.37,62.57,51.8,Wheat,Red,28-28,,,,,,0,0,0,0,1,0
30,1,4,31.31,48.85,25.68,Sugarcane,Black,28-28,,,,,,0,0,0,0,0,0
14,0,41,32.51,67.8,42.49,Sugarcane,Black,17-17-17,,,,,,0,0,0,0,1,0
18,0,40,39.87,60.83,56.01,Barley,Clayey,DAP,,,,,,0,0,0,0,1,0
14,9,15,22.54,44.49,64.67,Barley,Clayey,17-17-17,,,,,,0,0,0,0,0,0
42,1,0,36.66,60.99,46.13,Wheat,Loamy,20-20,,,,,,0,0,1,0,0,0
37,4,3,30.67,59.09,30.58,Sugarcane,Red,20-20,,,,,,0,0,0,0,0,0
23,4,14,28.01,54.25,39.67,Maize,Red,28-28,,,,,,0,0,0,0,0,0
45,0,3,29.26,60.28,34.61,Sugarcane,Loamy,28-28,,,,,,0,0,0,0,1,0
35,4,0,35.64,76.74,55.07,Sugarcane,Loamy,DAP,,,,,,0,0,1,0,0,0
14,2,34,25.85,59.28,48.78,Barley,Red,14-35-14,,,,,,0,0,0,0,0,0
11,1,45,27.37,52.08,45.62,Maize,Clayey,28-28,,,,,,0,0,0,0,0,0
8,2,15,36.24,55.86,52.22,Ground Nuts,Sandy,DAP,,,,,,0,0,0,0,0,0
26,3,20,33.06,52.39,40.7,Millets,Loamy,Urea,,,,,,0,0,0,0,0,0
17,1,17,32.03,57.94,48.58,Wheat,Clayey,17-17-17,,,,,,0,0,0,0,0,0
6,0,16,33.47,59.46,64.44,Wheat,Sandy,28-28,,,,,,0,0,0,0,1,0
8,0,41,40.0,62.39,45.31,Paddy,Clayey,Urea,,,,,,0,0,0,0,1,0
15,0,13,32.84,62.04,32.05,Sugarcane,Sandy,17-17-17,,,,,,0,0,0,0,1,0
11,0,17,27.96,54.06,47.23,Millets,Black,14-35-14,,,,,,0,0,0,0,1,0
8,0,11,32.11,71.86,56.34,Barley,Clayey,20-20,,,,,,0,0,0,0,1,0
11,4,40,37.68,71.36,32.07,Ground Nuts,Clayey,Urea,,,,,,0,0,0,0,0,0
13,0,10,24.24,45.3,68.56,Barley,Clayey,20-20,,,,,,0,0,0,0,1,0
6,20,14,29.39,58.92,32.77,Wheat,Sandy,20-20,,,,,,0,0,0,0,0,0
10,2,39,31.46,60.92,35.26,Barley,Black,20-20,,,,,,0,0,0,0,0,0
43,0,0,25.84,46.79,35.77,Paddy,Clayey,10-26-26,,,,,,0,0,1,0,1,0
22,0,23,30.65,57.55,43.54,Maize,Black,Urea,,,,,,0,0,0,0,1,0
6,8,28,36.25,60.68,42.98,Sugarcane,Black,17-17-17,,,,,,0,0,0,0,0,0
14,4,32,36.5,52.36,24.4,Paddy,Red,17-17-17,,,,,,0,0,0,0,0,0
18,0,14,21.57,50.51,47.72,Wheat,Black,DAP,,,,,,0,0,0,0,1,0
19,0,42,33.9,74.86,57.18,Wheat,Sandy,Urea,,,,,,0,0,0,0,1,0
36,1,0,37.18,70.69,58.98,Sugarcane,Red,20-20,,,,,,0,0,1,0,0,0
9,17,19,33.28,76.03,40.66,Barley,Clayey,28-28,,,,,,0,0,0,0,0,0
32,0,0,30.29,46.16,40.66,Paddy,Clayey,DAP,,,,,,0,0,1,0,1,0
10,13,19,29.84,42.95,34.38,Sugarcane,Clayey,14-35-14,,,,,,0,0,0,0,0,0
12,4,27,39.75,66.91,26.89,Barley,Black,10-26-26,,,,,,0,0,0,0,0,0
26,0,16,30.44,68.6,66.26,Barley,Clayey,14-35-14,,,,,,0,0,0,0,1,0
11,1,43,30.86,51.58,34.05,Millets,Red,20-20,,,,,,0,0,0,0,0,0
25,0,16,20.55,57.33,36.43,Wheat,Red,DAP,,,,,,0,0,0,0,1,0
40,0,0,28.3,62.72,42.06,Wheat,Clayey,20-20,,,,,,0,0,1,0,1,0
12,0,33,33.03,50.75,42.07,Sugarcane,Loamy,17-17-17,,,,,,0,0,0,0,1,0
12,0,40,24.26,66.8,29.59,Barley,Loamy,17-17-17,,,,,,0,0,0,0,1,0
40,1,4,36.13,61.57,35.14,Maize,Loamy,14-35-14,,,,,,0,0,0,0,0,0
12,3,9,36.76,72.35,33.65,Paddy,Black,14-35-14,,,,,,0,0,0,0,0,0
28,0,19,30.12,52.36,33.8,Barley,Sandy,28-28,,,,,,0,0,0,0,1,0
8,0,6,32.65,68.89,29.69,Millets,Clayey,14-35-14,,,,,,0,0,0,0,1,0
37,3,4,26.89,51.17,70.0,Sugarcane,Clayey,10-26-26,,,,,,0,0,0,0,0,0
25,4,18,29.67,47.88,23.8,Ground Nuts,Red,10-26-26,,,,,,0,0,0,0,0,0
13,1,11,25.12,50.56,52.48,Millets,Sandy,28-28,,,,,,0,0,0,0,0,0
16,0,10,29.06,68.31,52.37,Ground Nuts,Red,14-35-14,,,,,,0,0,0,0,1,0
13,4,38,25.78,64.69,32.38,Barley,Loamy,28-28,,,,,,0,0,0,0,0,0
17,2,29,30.4,55.27,41.63,Ground Nuts,Clayey,DAP,,,,,,0,0,0,0,0,0
9,13,10,36.0,59.46,52.35,Wheat,Clayey,28-28,,,,,,0,0,0,0,0,0
16,1,38,34.49,54.23,21.17,Sugarcane,Black,DAP,,,,,,0,0,0,0,0,0
11,4,18,30.5,59.68,35.22,Wheat,Black,Urea,,,,,,0,0,0,0,0,0
15,15,13,27.52,42.91,21.12,Ground Nuts,Red,10-26-26,,,,,,0,0,0,0,0,0
11,4,12,24.68,49.97,70.0,Barley,Loamy,DAP,,,,,,0,0,0,0,0,0
17,10,12,31.83,55.75,46.33,Millets,Sandy,Urea,,,,,,0,0,0,0,0,0
9,3,26,27.8,65.85,31.27,Wheat,Clayey,20-20,,,,,,0,0,0,0,0,0
13,2,13,31.7,55.64,40.28,Maize,Sandy,17-17-17,,,,,,0,0,0,0,0,0
10,2,32,29.0,65.07,70.0,Maize,Red,DAP,,,,,,0,0,0,0,0,0
12,0,13,29.04,70.01,36.9,Barley,Black,DAP,,,,,,0,0,0,0,1,0
12,0,35,35.17,73.71,70.0,Maize,Loamy,Urea,,,,,,0,0,0,0,1,0
17,0,17,24.54,46.43,32.67,Ground Nuts,Black,28-28,,,,,,0,0,0,0,1,0
10,3,37,32.82,66.47,59.62,Ground Nuts,Red,10-26-26,,,,,,0,0,0,0,0,0
14,18,12,24.05,56.01,29.3,Sugarcane,Red,10-26-26,,,,,,0,0,0,0,0,0
8,2,11,31.25,49.31,59.62,Ground Nuts,Sandy,28-28,,,,,,0,0,0,0,0,0
7,5,25,30.14,74.53,67.61,Paddy,Black,17-17-17,,,,,,0,0,0,0,0,0
13,0,39,28.38,62.44,55.9,Wheat,Black,20-20,,,,,,0,0,0,0,1,0
18,4,36,40.0,53.38,44.17,Barley,Black,20-20,,,,,,0,0,0,0,0,0
16,0,14,30.51,56.56,31.01,Ground Nuts,Sandy,10-26-26,,,,,,0,0,0,0,1,0
17,0,23,29.85,60.19,51.81,Millets,Black,DAP,,,,,,0,0,0,0,1,0
13,3,39,27.57,58.96,56.6,Wheat,Red,DAP,,,,,,0,0,0,0,0,0
19,4,21,26.57,53.43,43.69,Ground Nuts,Clayey,28-28,,,,,,0,0,0,0,0,0
4,10,27,25.87,64.11,67.58,Wheat,Loamy,Urea,,,,,,0,0,0,0,0,0
37,0,3,23.29,59.14,42.14,Maize,Red,17-17-17,,,,,,0,0,0,0,1,0
38,4,1,24.68,58.73,43.06,Millets,Sandy,DAP,,,,,,0,0,0,0,0,0
8,10,25,40.0,68.68,34.13,Ground Nuts,Sandy,28-28,,,,,,0,0,0,0,0,0
6,3,37,27.62,67.62,64.74,Barley,Red,10-26-26,,,,,,0,0,0,0,0,0
12,16,13,26.49,61.97,42.04,Ground Nuts,Clayey,DAP,,,,,,0,0,0,0,0,0
12,0,36,29.25,62.0,55.15,Barley,Clayey,10-26-26,,,,,,0,0,0,0,1,0
32,0,0,25.85,48.14,39.33,Maize,Loamy,Urea,,,,,,0,0,1,0,1,0
10,0,40,30.02,55.06,30.59,Wheat,Red,17-17-17,,,,,,0,0,0,0,1,0
33,0,0,32.8,65.87,49.94,Barley,Clayey,14-35-14,,,,,,0,0,1,0,1,0
8,0,32,33.34,61.94,32.31,Sugarcane,Black,17-17-17,,,,,,0,0,0,0,1,0
38,0,0,22.34,45.29,39.49,Millets,Loamy,10-26-26,,,,,,0,0,1,0,1,0
6,0,6,21.07,60.95,61.29,Millets,Clayey,20-20,,,,,,0,0,0,0,1,0
11,0,13,24.0,49.02,37.37,Sugarcane,Clayey,DAP,,,,,,0,0,0,0,1,0
39,0,4,29.13,43.28,36.14,Sugarcane,Black,14-35-14,,,,,,0,0,0,0,1,0
12,3,34,28.08,52.69,32.35,Ground Nuts,Clayey,17-17-17,,,,,,0,0,0,0,0,0
11,0,39,21.29,54.85,26.51,Millets,Sandy,17-17-17,,,,,,0,0,0,0,1,0
31,0,0,28.54,49.45,46.17,Millets,Red,10-26-26,,,,,,0,0,1,0,1,0
19,3,28,22.97,44.59,43.69,Barley,Clayey,28-28,,,,,,0,0,0,0,0,0
9,0,38,27.52,52.42,36.15,Maize,Red,DAP,,,,,,0,0,0,0,1,0
7,12,8,30.57,64.68,51.73,Wheat,Clayey,DAP,,,,,,0,0,0,0,0,0
21,0,23,34.97,72.4,57.83,Wheat,Loamy,DAP,,,,,,0,0,0,0,1,0
16,0,12,32.85,69.09,29.04,Ground Nuts,Black,14-35-14,,,,,,0,0,0,0,1,0
8,2,34,24.33,66.27,70.0,Ground Nuts,Black,20-20,,,,,,0,0,0,0,0,0
41,3,4,35.36,64.36,36.49,Wheat,Loamy,DAP,,,,,,0,0,0,0,0,0
11,0,38,27.09,62.94,50.51,Wheat,Red,DAP,,,,,,0,0,0,0,1,0
38,1,0,25.2,48.23,41.84,Ground Nuts,Black,20-20,,,,,,0,0,1,0,0,0
41,4,2,23.98,52.41,24.26,Ground Nuts,Loamy,17-17-17,,,,,,0,0,0,0,0,0
42,1,3,32.12,57.29,40.78,Millets,Sandy,DAP,,,,,,0,0,0,0,0,0
14,1,45,27.8,44.81,22.17,Sugarcane,Red,17-17-17,,,,,,0,0,0,0,0,0
4,9,25,35.41,69.11,70.0,Sugarcane,Clayey,10-26-26,,,,,,0,0,0,0,0,0
26,3,22,27.13,43.23,35.28,Paddy,Red,14-35-14,,,,,,0,0,0,0,0,0
22,4,21,28.99,66.71,43.03,Paddy,Clayey,DAP,,,,,,0,0,0,0,0,0
7,10,25,27.79,62.14,30.06,Sugarcane,Red,10-26-26,,,,,,0,0,0,0,0,0
10,2,41,33.41,67.81,41.34,Ground Nuts,Loamy,20-20,,,,,,0,0,0,0,0,0
35,0,0,32.11,71.08,29.01,Barley,Sandy,10-26-26,,,,,,0,0,1,0,1,0
39,0,3,36.82,57.69,30.19,Barley,Red,28-28,,,,,,0,0,0,0,1,0
16,0,8,25.12,64.48,52.92,Wheat,Sandy,14-35-14,,,,,,0,0,0,0,1,0
38,2,0,32.68,58.16,41.4,Paddy,Loamy,20-20,,,,,,0,0,1,0,0,0
10,0,37,35.81,76.09,24.48,Paddy,Red,DAP,,,,,,0,0,0,0,1,0
38,0,0,29.14,59.77,42.79,Barley,Clayey,10-26-26,,,,,,0,0,1,0,1,0
32,3,0,24.6,51.17,29.76,Wheat,Clayey,17-17-17,,,,,,0,0,1,0,0,0
