Nitrogen,Phosphorus,Potassium,pH,Humidity,Temperature,Crop
67.74,42.84,280.24,6.19,65.5,29.87,Eggplant
44.88,51.3,247.19,6.45,62.5,28.63,Chili
86.94,56.28,235.59,6.22,64.13,22.69,Eggplant
66.43,41.32,236.67,6.05,66.76,24.69,Eggplant
50.05,58.29,262.11,6.52,69.42,28.77,Eggplant
40.1,49.99,228.03,6.78,72.43,29.4,Chili
55.82,33.73,246.42,6.43,76.75,22.75,Chili
62.6,41.59,202.44,6.6,68.27,31.55,Eggplant
78.14,57.24,270.32,6.33,64.32,30.42,Eggplant
41.44,54.38,226.29,6.34,76.48,28.73,Chili
50.06,46.33,211.0,6.6,71.61,22.94,Chili
46.97,46.75,181.29,6.79,62.58,26.95,Chili
79.88,63.04,230.24,6.63,62.67,28.41,Eggplant
68.65,59.45,226.25,6.23,66.98,21.84,Chili
66.68,47.65,242.34,6.4,65.91,26.75,Eggplant
74.01,42.62,219.36,6.61,79.79,29.95,Chili
52.51,52.31,288.94,6.26,64.17,24.8,Eggplant
71.17,56.41,238.97,6.58,68.66,29.4,Chili
68.82,32.47,187.54,6.21,78.17,27.51,Chili
66.8,52.08,197.83,6.49,62.66,22.34,Chili
70.89,34.59,175.01,6.27,66.44,21.28,Chili
67.42,66.41,255.3,6.11,65.67,22.06,Eggplant
43.74,47.95,226.1,6.23,62.87,20.08,Chili
65.75,35.03,189.4,6.27,65.66,21.08,Chili
54.63,47.99,226.96,5.86,62.07,30.32,Eggplant
76.88,33.4,162.59,6.11,62.57,21.9,Chili
84.38,58.1,269.73,6.29,60.15,27.11,Eggplant
67.82,47.84,217.15,6.47,74.42,21.29,Chili
59.49,52.47,204.71,6.32,65.94,24.35,Chili
88.47,63.17,222.44,6.33,67.17,22.65,Eggplant
52.97,50.52,228.11,6.2,63.24,29.04,Eggplant
72.42,50.5,236.75,5.68,69.59,24.61,Eggplant
67.79,46.22,220.13,6.63,65.24,30.16,Eggplant
72.81,46.63,248.05,6.64,66.05,23.69,Eggplant
43.66,39.28,225.64,6.73,71.89,25.33,Chili
91.48,42.22,238.94,6.75,64.17,23.28,Eggplant
70.97,59.95,233.52,5.74,64.31,28.87,Eggplant
60.46,41.71,225.07,6.03,65.31,25.48,Eggplant
77.93,49.87,211.81,6.59,61.36,26.36,Eggplant
69.56,63.63,223.34,5.56,67.16,22.21,Eggplant
40.8,52.17,158.13,6.36,61.14,21.44,Chili
51.49,53.43,282.23,6.72,68.74,30.13,Eggplant
56.27,58.47,264.16,6.13,60.47,29.49,Eggplant
62.12,33.97,233.47,6.03,70.61,20.32,Chili
81.72,56.44,240.64,5.59,67.59,31.9,Eggplant
43.17,40.72,170.07,6.75,66.45,23.45,Chili
66.56,50.31,206.79,6.6,66.87,26.48,Chili
61.63,58.49,289.68,5.9,67.38,29.57,Eggplant
88.85,60.53,261.04,6.08,61.85,22.03,Eggplant
54.23,46.68,254.2,5.98,68.85,24.97,Eggplant
67.24,42.14,239.65,6.78,60.33,27.02,Eggplant
51.06,32.24,202.63,6.7,62.95,29.75,Chili
98.9,63.86,233.39,6.19,62.28,30.14,Eggplant
79.03,62.31,223.15,6.72,66.34,25.35,Eggplant
61.48,49.15,158.5,6.62,73.15,23.55,Chili
73.98,33.45,236.59,6.03,61.5,22.24,Chili
48.03,48.58,163.45,6.24,69.27,20.87,Chili
76.59,40.15,223.46,6.5,62.5,24.42,Chili
52.25,39.58,166.16,6.57,72.99,28.42,Chili
51.64,35.44,172.22,6.07,72.8,29.22,Chili
89.78,50.25,213.8,6.53,67.4,25.09,Eggplant
50.17,41.3,173.78,6.43,66.83,20.08,Chili
75.69,42.11,249.68,6.55,76.62,24.61,Chili
72.74,46.95,162.47,6.13,79.53,24.58,Chili
63.13,57.75,202.94,6.24,66.22,29.69,Chili
87.1,48.46,284.98,5.8,60.86,26.85,Eggplant
76.12,54.47,209.97,5.71,66.47,31.96,Eggplant
69.99,55.44,271.01,6.09,61.87,31.16,Eggplant
46.47,52.99,157.95,6.73,69.0,26.75,Chili
64.64,41.21,156.87,6.66,78.11,28.3,Chili
40.89,47.16,184.39,6.03,74.16,29.74,Chili
80.12,40.45,278.73,6.47,69.87,24.21,Eggplant
66.41,59.02,154.1,6.76,72.21,22.15,Chili
51.86,52.78,162.9,6.3,75.25,29.51,Chili
85.76,58.31,216.81,6.21,69.76,29.65,Eggplant
70.55,54.94,210.61,6.18,64.94,25.93,Eggplant
68.66,52.43,275.28,6.43,69.29,30.54,Eggplant
67.26,46.11,235.27,5.74,62.7,27.06,Eggplant
80.29,49.67,257.93,5.97,64.4,26.73,Eggplant
74.48,50.85,244.2,5.92,64.47,25.49,Eggplant
78.03,47.09,245.63,6.72,74.48,27.38,Chili
52.87,53.64,231.41,5.51,68.89,25.56,Eggplant
71.04,43.53,197.43,6.14,70.98,23.28,Chili
72.34,44.31,172.5,6.59,73.62,20.14,Chili
71.87,67.17,258.73,6.74,69.71,28.23,Eggplant
40.84,34.25,228.92,6.32,64.13,21.13,Chili
97.36,43.81,204.82,5.56,66.04,26.69,Eggplant
80.44,47.72,226.87,5.87,69.41,24.27,Eggplant
64.04,42.56,241.54,5.57,66.85,28.61,Eggplant
45.95,49.21,243.29,6.53,65.33,27.0,Chili
64.26,42.69,180.0,6.07,69.88,24.54,Chili
77.45,47.27,217.38,6.02,78.73,27.12,Chili
52.35,58.68,228.77,6.23,60.16,31.22,Eggplant
91.1,60.08,219.87,6.16,61.39,27.96,Eggplant
64.62,59.34,207.15,5.61,67.27,26.34,Eggplant
45.15,42.26,164.21,6.11,69.21,20.24,Chili
93.24,67.84,223.19,6.5,63.68,24.31,Eggplant
55.61,49.04,235.96,6.39,62.52,25.18,Eggplant
51.54,60.26,279.71,6.58,62.84,25.04,Eggplant
70.8,36.86,180.82,6.46,67.73,20.3,Chili
66.67,58.41,229.72,6.29,71.01,24.27,Chili
95.0,50.95,231.87,5.97,66.86,25.49,Eggplant
64.3,69.93,295.37,6.35,65.84,24.48,Eggplant
87.92,48.45,211.67,6.7,67.39,30.81,Eggplant
67.01,56.27,165.3,6.48,61.31,28.58,Chili
50.56,52.41,228.46,6.72,61.97,27.27,Chili
77.51,53.44,167.91,6.49,73.66,24.11,Chili
87.69,67.87,222.48,5.7,61.69,24.42,Eggplant
66.94,57.81,274.5,6.39,69.61,28.42,Eggplant
65.75,58.1,234.63,6.41,78.19,26.94,Chili
53.17,52.69,219.12,6.24,68.38,25.92,Eggplant
67.64,36.93,245.38,6.19,69.35,28.18,Chili
43.07,51.46,237.4,6.74,63.31,20.89,Chili
59.57,36.94,214.57,6.54,72.24,27.2,Chili
53.77,48.46,285.41,5.76,60.56,25.85,Eggplant
58.88,57.31,298.24,5.64,63.33,28.38,Eggplant
94.26,43.15,265.16,5.75,65.58,29.15,Eggplant
85.09,58.04,270.88,6.6,68.96,27.64,Eggplant
75.17,43.86,209.07,6.15,64.88,29.95,Eggplant
78.87,41.7,275.18,6.29,61.59,23.91,Eggplant
55.11,47.63,186.07,6.25,77.11,25.78,Chili
62.3,51.56,202.59,6.32,63.99,26.26,Eggplant
54.81,48.57,267.83,6.17,61.57,31.43,Eggplant
58.4,41.27,163.31,6.53,76.88,24.1,Chili
69.39,56.18,192.71,6.38,72.88,28.09,Chili
79.07,45.16,181.09,6.32,63.72,27.87,Chili
50.65,43.88,155.1,6.11,61.38,20.59,Chili
61.75,48.78,249.01,6.04,69.54,27.69,Eggplant
79.1,36.07,189.07,6.09,79.34,20.54,Chili
66.93,36.17,236.73,6.16,68.21,20.12,Chili
64.29,45.81,199.8,6.8,63.02,29.41,Chili
60.51,63.62,278.17,6.61,68.35,24.69,Eggplant
74.3,33.31,197.55,6.26,65.95,28.08,Chili
53.29,41.93,219.62,5.5,69.98,29.23,Eggplant
71.27,59.64,204.08,6.64,67.55,23.44,Chili
74.71,57.98,297.07,6.38,61.21,23.08,Eggplant
87.5,44.72,287.81,5.98,65.76,25.7,Eggplant
65.61,40.88,183.35,6.22,77.38,22.26,Chili
57.51,60.02,230.16,6.56,63.48,23.04,Eggplant
50.23,34.72,214.62,6.22,79.42,29.31,Chili
79.6,31.41,201.65,6.25,76.78,20.59,Chili
43.47,38.0,228.92,6.36,66.53,28.8,Chili
87.85,46.32,202.84,5.73,66.88,22.45,Eggplant
80.97,69.02,275.62,5.62,61.46,30.08,Eggplant
50.38,50.63,275.6,5.97,60.73,30.39,Eggplant
67.73,43.89,218.94,6.71,69.29,20.13,Chili
67.77,58.29,213.75,6.27,68.56,21.3,Chili
60.53,56.17,159.1,6.73,67.55,20.21,Chili
43.77,31.9,181.69,6.16,74.09,29.95,Chili
54.83,44.17,235.72,6.31,78.62,25.95,Chili
77.31,53.02,217.33,6.71,65.61,27.97,Eggplant
50.08,69.95,232.53,5.61,63.46,26.91,Eggplant
96.52,49.77,270.38,5.74,68.22,26.78,Eggplant
69.77,47.92,172.34,6.41,69.08,22.24,Chili
97.23,51.4,282.14,6.09,61.02,25.36,Eggplant
75.5,52.81,244.34,6.76,62.97,30.3,Eggplant
40.2,52.78,221.16,6.18,64.78,28.32,Chili
76.38,56.99,234.3,6.61,69.82,28.5,Eggplant
65.96,53.87,220.28,5.9,64.71,30.2,Eggplant
55.2,44.41,217.5,6.15,64.03,28.12,Chili
71.97,48.95,221.05,6.25,65.42,23.65,Eggplant
54.15,45.28,234.16,6.43,67.29,30.72,Eggplant
90.35,54.79,201.03,6.36,67.11,29.86,Eggplant
49.72,33.62,179.66,6.27,63.76,27.65,Chili
88.38,57.3,256.5,6.77,66.7,25.38,Eggplant
94.69,49.54,268.16,6.48,63.29,23.83,Eggplant
91.47,45.71,226.13,5.8,66.34,27.76,Eggplant
58.98,58.76,230.03,5.81,61.1,25.67,Eggplant
45.39,53.24,215.88,6.63,64.91,26.27,Chili
55.24,51.24,276.86,5.9,65.92,22.24,Eggplant
62.35,61.64,239.31,5.66,61.24,25.62,Eggplant
43.06,36.01,246.09,6.64,73.93,21.92,Chili
61.03,54.68,211.91,6.75,61.42,22.5,Eggplant
63.03,30.0,219.64,6.75,75.07,25.56,Chili
79.01,37.3,245.53,6.77,68.68,26.13,Chili
68.79,60.86,236.15,5.51,67.96,26.98,Eggplant
77.98,67.15,260.26,5.88,61.35,27.94,Eggplant
84.59,60.89,255.58,6.32,65.56,25.69,Eggplant
72.32,59.89,202.68,6.63,77.78,24.77,Chili
72.65,54.48,167.99,6.31,77.94,25.22,Chili
54.18,61.02,289.79,6.58,63.36,24.63,Eggplant
71.48,32.57,150.87,6.69,61.06,28.53,Chili
52.73,63.55,212.39,6.01,69.83,28.06,Eggplant
50.94,50.62,290.4,5.63,62.29,27.4,Eggplant
65.0,37.29,246.81,6.4,67.42,27.7,Chili
44.74,55.13,227.71,6.41,78.05,23.6,Chili
86.58,47.3,201.18,6.12,67.23,29.5,Eggplant
67.28,55.69,272.64,6.22,64.26,27.19,Eggplant
84.49,53.91,239.98,6.25,64.06,25.31,Eggplant
63.0,55.2,238.91,6.13,61.73,30.08,Eggplant
84.13,69.66,264.53,5.85,69.65,23.48,Eggplant
47.1,31.56,207.69,6.1,75.86,20.93,Chili
56.35,50.8,183.66,6.32,78.83,21.06,Chili
44.63,34.13,239.34,6.6,73.41,24.66,Chili
59.59,44.33,217.96,6.31,60.86,21.67,Chili
86.54,61.0,294.48,6.67,62.02,23.12,Eggplant
66.96,48.13,241.38,6.21,62.43,20.89,Chili
41.38,40.81,238.75,6.77,68.61,27.57,Chili
68.69,67.01,297.49,6.05,66.0,22.96,Eggplant
54.61,58.38,248.08,5.78,65.92,23.84,Eggplant
49.23,31.58,167.74,6.51,67.55,27.14,Chili
94.43,41.14,245.1,5.99,66.15,30.73,Eggplant
64.21,53.21,154.24,6.53,71.66,22.45,Chili
64.09,48.16,206.39,6.03,68.94,25.4,Eggplant
56.93,62.86,261.83,6.36,65.25,23.48,Eggplant
59.87,46.89,190.02,6.53,78.33,24.93,Chili
66.73,55.96,215.49,6.74,62.14,22.53,Eggplant
75.38,47.41,197.21,6.36,64.72,25.32,Chili
98.84,47.38,248.68,6.76,64.08,24.34,Eggplant
66.36,58.31,215.79,6.28,63.21,22.91,Chili
65.15,47.44,202.77,6.66,73.82,22.97,Chili
56.96,51.61,204.61,5.53,68.28,28.05,Eggplant
53.83,41.25,230.54,6.5,75.95,21.03,Chili
57.63,64.22,217.5,6.16,63.95,22.32,Eggplant
77.01,67.35,257.01,5.5,63.86,29.89,Eggplant
75.85,61.62,278.53,5.89,65.62,27.68,Eggplant
58.83,60.68,230.38,5.56,65.9,29.77,Eggplant
55.51,42.62,182.53,6.25,71.29,22.32,Chili
56.09,56.34,164.47,6.43,68.79,20.06,Chili
54.16,45.06,205.9,6.79,65.86,21.07,Chili
59.99,50.24,244.14,5.52,68.64,24.36,Eggplant
48.13,32.61,223.14,6.24,71.37,29.82,Chili
72.38,42.64,204.2,6.47,67.82,26.72,Eggplant
97.74,43.72,257.08,6.15,68.68,26.69,Eggplant
58.85,58.19,222.98,6.31,62.03,20.26,Chili
77.66,51.69,162.46,6.34,74.88,21.07,Chili
65.84,60.89,247.78,5.82,60.81,31.86,Eggplant
82.97,52.3,295.06,5.73,60.7,29.05,Eggplant
79.96,40.0,175.91,6.65,60.42,21.93,Chili
96.89,60.88,213.53,6.04,64.51,23.79,Eggplant
73.25,40.99,261.79,6.04,69.25,22.33,Eggplant
50.88,38.49,155.26,6.35,65.26,27.72,Chili
79.63,61.99,285.55,6.58,67.37,28.13,Eggplant
75.86,42.91,211.07,6.31,75.28,25.24,Chili
74.76,66.82,203.09,6.38,66.46,29.32,Eggplant
72.98,31.27,173.6,6.09,70.74,29.11,Chili
73.08,46.33,204.38,6.46,66.32,22.59,Eggplant
51.62,58.11,234.28,5.71,65.44,25.43,Eggplant
57.87,49.19,204.63,5.57,62.86,27.49,Eggplant
76.86,42.93,226.32,6.77,62.5,27.34,Eggplant
62.75,50.56,261.78,6.24,64.06,22.75,Eggplant
76.07,69.58,273.91,5.96,65.76,22.29,Eggplant
46.32,31.06,223.33,6.47,63.13,25.25,Chili
43.04,46.01,221.23,6.22,65.01,20.66,Chili
60.57,51.02,294.62,5.89,60.84,24.14,Eggplant
68.94,33.34,165.0,6.02,73.7,25.79,Chili
79.29,57.57,223.64,6.45,61.39,22.01,Chili
78.03,36.48,180.23,6.09,75.7,27.78,Chili
58.84,37.69,179.34,6.62,60.19,28.57,Chili
58.33,31.16,160.43,6.33,79.42,25.37,Chili
61.46,42.27,189.35,6.17,71.61,20.21,Chili
61.5,43.57,242.1,6.34,69.79,23.03,Chili
68.63,47.62,235.75,6.17,65.67,25.04,Chili
55.69,33.81,195.85,6.27,76.36,22.14,Chili
79.29,64.15,235.49,6.47,69.6,24.02,Eggplant
80.32,66.57,273.51,6.04,68.39,27.31,Eggplant
74.24,35.27,170.12,6.07,68.28,23.56,Chili
93.06,45.58,202.15,6.18,60.52,22.71,Eggplant
71.42,42.85,264.54,5.95,66.39,27.97,Eggplant
73.21,48.75,241.8,6.76,66.89,20.28,Chili
82.41,68.16,238.16,6.29,67.66,27.01,Eggplant
78.01,68.76,225.59,6.25,60.56,23.23,Eggplant
67.39,52.05,214.06,6.36,78.85,21.77,Chili
72.22,37.4,178.85,6.64,62.1,21.21,Chili
96.74,69.1,250.03,5.54,67.12,29.59,Eggplant
81.97,56.39,299.35,6.13,67.66,23.36,Eggplant
74.41,32.28,181.06,6.65,78.24,21.33,Chili
69.37,31.24,205.23,6.05,67.44,27.28,Chili
77.89,43.52,208.0,5.66,69.55,23.07,Eggplant
52.81,57.2,163.48,6.63,73.73,21.29,Chili
74.53,51.05,228.07,6.62,63.56,24.9,Chili
51.82,41.45,196.44,6.5,65.93,27.96,Chili
50.98,35.11,198.47,6.41,61.49,20.2,Chili
71.05,30.81,191.2,6.01,70.44,21.05,Chili
85.64,67.99,265.77,6.15,66.83,27.46,Eggplant
56.05,57.92,217.75,6.33,76.51,25.31,Chili
70.91,33.67,233.65,6.57,67.45,26.98,Chili
54.39,52.36,288.66,6.8,68.91,22.22,Eggplant
90.58,68.04,257.4,5.95,69.55,28.97,Eggplant
91.4,61.86,277.79,6.27,66.7,27.07,Eggplant
83.37,57.67,218.15,6.59,64.09,30.99,Eggplant
77.58,50.2,150.97,6.4,73.22,26.67,Chili
93.58,49.05,249.73,5.84,64.03,31.59,Eggplant
57.91,64.06,221.8,5.74,60.41,27.9,Eggplant
87.04,52.89,281.04,6.74,60.89,31.16,Eggplant
59.57,40.51,155.46,6.64,71.55,23.68,Chili
63.92,41.15,215.57,6.11,66.4,25.2,Eggplant
71.34,69.42,241.14,6.47,64.35,25.91,Eggplant
76.99,67.47,260.51,6.06,60.79,27.17,Eggplant
51.07,50.95,256.22,6.19,66.6,24.22,Eggplant
60.84,68.16,237.29,6.5,60.37,26.61,Eggplant
48.72,36.11,208.14,6.3,78.68,28.57,Chili
41.06,55.59,211.19,6.17,68.01,23.95,Chili
65.15,55.32,285.44,5.75,63.13,22.98,Eggplant
60.11,50.45,169.51,6.77,79.57,24.8,Chili
64.18,55.92,210.68,6.07,63.42,26.64,Eggplant
57.84,54.42,232.08,6.57,70.97,27.56,Chili
66.04,43.73,236.96,6.24,67.49,24.39,Chili
60.32,33.08,210.64,6.41,60.7,24.13,Chili
89.06,62.38,266.81,6.2,67.62,25.43,Eggplant
79.88,40.47,233.8,6.33,69.37,28.76,Chili
74.26,50.59,298.9,6.08,66.33,30.22,Eggplant
73.92,53.7,172.62,6.47,70.01,27.96,Chili
98.29,49.02,238.43,5.58,62.11,29.17,Eggplant
52.57,54.38,156.41,6.63,77.86,23.48,Chili
68.96,36.96,245.49,6.26,69.79,20.77,Chili
75.21,45.92,231.84,6.31,67.52,24.37,Chili
67.83,54.26,187.59,6.56,67.66,25.22,Chili
60.49,50.49,297.07,6.38,60.27,30.23,Eggplant
93.41,43.19,212.42,5.86,68.54,29.91,Eggplant
61.91,61.92,226.85,5.88,62.8,27.9,Eggplant
78.43,46.18,229.67,6.54,78.82,23.54,Chili
73.65,55.24,240.74,6.37,75.06,28.91,Chili
54.18,31.38,210.07,6.04,66.87,23.57,Chili
65.63,55.6,242.99,5.76,67.94,28.74,Eggplant
40.56,49.52,198.32,6.57,64.06,26.6,Chili
80.83,41.39,259.99,6.14,67.06,23.21,Eggplant
99.57,63.85,235.13,6.15,64.71,24.67,Eggplant
70.89,48.98,290.2,6.31,60.18,25.34,Eggplant
93.64,53.3,233.89,6.16,68.64,30.17,Eggplant
85.64,53.81,258.14,6.14,60.01,23.35,Eggplant
77.07,51.3,158.99,6.09,73.97,23.54,Chili
67.95,53.93,207.49,6.61,65.28,26.99,Chili
50.52,48.62,203.12,6.62,69.39,26.88,Chili
55.23,34.26,189.34,6.37,69.39,25.78,Chili
55.39,63.45,267.04,5.94,69.59,29.76,Eggplant
89.78,43.88,260.44,5.65,62.44,25.23,Eggplant
66.53,46.93,174.46,6.29,76.97,28.7,Chili
54.48,65.77,266.62,6.59,64.35,29.07,Eggplant
47.56,58.5,198.48,6.27,64.46,25.71,Chili
56.1,53.71,229.38,6.77,67.13,27.79,Eggplant
58.9,47.57,235.91,6.1,64.89,20.43,Chili
45.63,59.68,244.21,6.23,78.8,21.91,Chili
61.73,43.59,242.95,6.61,60.01,25.36,Eggplant
66.0,54.5,229.92,6.47,72.04,29.64,Chili
74.99,55.01,172.6,6.62,77.95,21.32,Chili
74.25,45.51,212.22,6.27,64.26,23.87,Eggplant
51.41,43.73,283.02,5.94,68.84,24.43,Eggplant
81.69,57.69,269.22,6.42,64.3,28.05,Eggplant
71.61,45.31,219.76,6.23,65.39,26.26,Chili
64.87,41.41,182.88,6.43,66.25,24.72,Chili
93.61,50.31,221.62,5.97,69.29,31.24,Eggplant
73.55,56.97,204.95,6.76,77.01,26.71,Chili
68.26,31.98,187.44,6.25,71.35,29.93,Chili
69.95,59.44,228.51,5.73,65.18,22.18,Eggplant
81.68,55.75,220.95,6.38,68.92,29.51,Eggplant
48.17,49.21,180.8,6.4,60.98,20.23,Chili
98.04,43.27,288.04,5.88,62.43,25.43,Eggplant
76.49,51.16,239.61,6.04,79.58,28.87,Chili
59.79,69.97,277.79,6.43,65.77,30.33,Eggplant
90.52,66.85,213.66,6.05,67.98,26.9,Eggplant
67.18,58.58,164.28,6.49,75.63,20.35,Chili
73.28,65.49,241.58,6.16,65.2,28.45,Eggplant
86.88,64.61,263.14,6.32,60.29,29.46,Eggplant
55.95,59.83,234.86,6.08,77.1,28.64,Chili
79.5,44.03,155.44,6.58,62.46,29.34,Chili
69.14,50.28,252.69,5.65,69.11,22.08,Eggplant
84.55,61.25,206.0,6.64,62.17,27.24,Eggplant
73.92,32.01,187.26,6.16,69.32,21.95,Chili
76.88,57.1,248.48,6.48,75.07,26.07,Chili
92.24,63.9,263.74,6.1,62.99,29.81,Eggplant
76.7,48.49,203.04,5.53,65.06,26.01,Eggplant
68.88,37.15,196.79,6.47,60.94,24.2,Chili
41.02,57.42,226.72,6.67,60.21,28.89,Chili
67.04,53.57,246.5,6.44,66.02,22.73,Chili
86.67,48.3,290.87,6.75,67.64,27.87,Eggplant
54.65,67.64,289.73,6.18,67.01,25.72,Eggplant
85.21,55.75,228.32,6.24,68.21,26.07,Eggplant
66.49,46.66,186.94,6.21,70.02,27.59,Chili
62.32,43.06,184.82,6.02,67.31,24.66,Chili
76.91,49.66,230.67,6.24,60.79,28.64,Chili
55.32,50.23,239.91,6.65,79.16,20.12,Chili
51.55,50.64,283.59,5.91,67.17,31.75,Eggplant
68.33,48.94,218.41,6.08,62.02,30.53,Eggplant
53.84,33.6,248.73,6.65,74.66,21.84,Chili
55.2,52.79,162.71,6.51,66.27,21.47,Chili
67.35,34.03,187.37,6.24,66.37,26.42,Chili
68.5,40.47,227.5,6.79,60.14,26.9,Eggplant
57.08,56.68,242.69,6.46,75.48,25.93,Chili
72.19,69.9,289.21,6.36,62.73,25.25,Eggplant
80.03,50.49,207.75,6.08,65.11,24.37,Eggplant
73.09,62.82,267.76,6.3,68.49,24.68,Eggplant
55.69,40.71,198.1,6.08,62.25,28.81,Chili
46.35,41.19,178.29,6.33,66.77,25.98,Chili
70.23,54.98,214.54,6.1,63.2,22.04,Eggplant
97.38,48.97,223.94,5.89,63.91,23.92,Eggplant
53.65,53.73,202.6,6.03,67.39,27.99,Eggplant
71.63,51.24,239.23,6.37,68.89,27.47,Eggplant
60.72,44.17,230.02,6.04,79.34,27.53,Chili
98.44,42.57,272.07,5.65,67.29,22.73,Eggplant
45.81,48.53,231.48,6.23,70.83,21.51,Chili
63.38,54.61,195.56,6.65,78.54,20.17,Chili
76.36,40.65,243.15,6.38,66.43,24.75,Eggplant
63.48,43.25,191.37,6.46,64.92,27.26,Chili
64.76,49.07,258.61,6.37,64.6,31.81,Eggplant
68.71,48.88,298.3,6.53,60.42,23.9,Eggplant
87.98,66.42,294.17,6.58,63.06,24.27,Eggplant
77.76,56.07,162.9,6.23,74.23,20.65,Chili
49.94,56.94,217.92,6.04,79.72,24.23,Chili
95.21,57.92,252.94,5.72,64.23,23.94,Eggplant
79.0,51.24,261.77,5.57,64.7,26.97,Eggplant
66.7,58.7,175.65,6.46,71.12,21.88,Chili
67.06,50.19,187.66,6.11,67.81,20.75,Chili
46.28,42.32,156.53,6.05,65.6,28.26,Chili
99.51,62.59,275.57,6.02,65.8,29.64,Eggplant
73.99,64.53,276.93,6.24,68.11,22.09,Eggplant
80.33,65.25,285.87,5.68,65.39,24.63,Eggplant
65.19,32.19,223.77,6.04,68.16,21.77,Chili
76.4,40.42,253.69,6.57,64.1,26.28,Eggplant
56.43,43.87,255.19,6.23,66.84,28.59,Eggplant
71.47,54.71,209.33,5.64,65.54,22.48,Eggplant
62.0,61.12,216.56,6.59,69.0,26.21,Eggplant
54.04,51.96,152.36,6.18,79.94,29.52,Chili
82.12,43.12,251.96,5.84,64.25,22.71,Eggplant
58.85,43.7,155.77,6.46,75.42,29.11,Chili
93.86,54.36,266.84,6.53,68.15,23.55,Eggplant
73.58,48.08,184.04,6.43,70.65,26.19,Chili
52.28,40.16,163.57,6.42,79.71,23.21,Chili
78.2,43.41,180.4,6.58,62.25,28.75,Chili
65.22,31.85,179.18,6.69,65.18,28.35,Chili
76.77,38.65,183.2,6.16,72.8,20.25,Chili
65.59,62.2,262.1,6.44,69.62,30.88,Eggplant
49.77,30.96,247.56,6.32,72.33,23.43,Chili
67.13,45.99,179.23,6.5,76.0,29.45,Chili
40.76,56.37,239.59,6.72,65.72,24.7,Chili
97.7,67.58,270.73,6.75,64.84,29.08,Eggplant
88.23,55.61,200.98,5.72,63.5,25.11,Eggplant
67.35,59.21,261.96,6.75,62.96,23.74,Eggplant
78.31,40.33,197.59,6.44,72.21,25.3,Chili
63.03,60.61,225.39,6.1,69.87,27.76,Eggplant
86.02,46.44,236.01,5.71,65.74,23.22,Eggplant
52.8,49.63,237.9,5.51,64.82,25.28,Eggplant
52.78,60.37,215.7,5.77,65.34,24.58,Eggplant
65.01,46.93,150.21,6.63,77.76,24.02,Chili
89.8,48.58,287.43,6.07,67.79,26.33,Eggplant
63.55,46.22,266.24,5.55,68.5,31.6,Eggplant
74.73,51.12,212.2,6.34,63.27,24.76,Eggplant
52.61,45.46,159.31,6.05,64.09,29.17,Chili
81.95,50.53,227.74,6.71,69.93,24.72,Eggplant
98.5,54.51,264.33,5.92,66.25,22.57,Eggplant
58.6,49.17,158.57,6.67,60.79,23.48,Chili
81.24,42.24,255.68,6.39,61.66,25.2,Eggplant
87.99,58.0,299.33,6.59,66.76,31.26,Eggplant
70.51,57.03,153.76,6.51,72.48,28.83,Chili
70.67,52.06,226.73,6.68,68.54,28.4,Chili
60.99,53.28,233.46,6.28,67.76,29.28,Chili
79.94,44.09,209.69,6.0,65.08,21.89,Chili
76.31,63.64,211.2,6.43,64.46,26.02,Eggplant
86.13,50.2,265.9,6.2,67.33,27.3,Eggplant
47.32,50.39,183.56,6.07,67.11,27.44,Chili
74.98,39.59,223.97,6.62,67.11,24.06,Chili
70.4,59.27,297.42,6.71,60.97,28.14,Eggplant
58.67,56.64,211.96,6.2,74.7,23.85,Chili
63.35,35.08,180.85,6.4,72.38,25.48,Chili
67.72,54.53,235.29,6.11,66.41,31.53,Eggplant
50.81,63.37,236.17,6.48,63.11,31.79,Eggplant
73.81,56.82,285.06,5.97,66.87,23.05,Eggplant
69.33,58.42,156.37,6.3,72.73,21.16,Chili
66.78,38.5,237.68,6.62,75.62,28.14,Chili
52.6,66.52,267.32,6.25,61.51,28.61,Eggplant
75.97,32.79,179.32,6.75,74.07,22.92,Chili
92.82,40.91,224.79,5.53,65.58,30.41,Eggplant
79.09,47.14,204.3,6.48,66.91,25.33,Chili
62.5,49.1,247.3,6.57,62.34,27.67,Chili
54.21,33.78,206.31,6.06,70.13,22.27,Chili
75.31,56.65,204.09,6.41,74.98,26.39,Chili
93.66,42.46,244.67,6.41,60.78,27.64,Eggplant
63.39,46.27,202.16,6.67,60.95,29.14,Eggplant
76.23,47.49,182.07,6.35,77.79,26.39,Chili
75.37,63.14,295.46,6.51,69.81,23.23,Eggplant
73.95,42.97,241.03,6.54,61.76,25.99,Chili
89.23,65.96,298.34,5.54,64.06,26.8,Eggplant
72.22,36.75,212.84,6.7,66.4,25.89,Chili
55.7,36.6,163.61,6.74,65.63,26.78,Chili
98.13,69.23,258.16,6.35,60.57,30.31,Eggplant
86.31,65.73,277.99,6.03,61.7,24.58,Eggplant
73.36,48.45,248.64,6.63,62.36,28.07,Chili
78.97,51.13,196.35,6.16,60.85,24.53,Chili
62.79,63.5,258.3,6.24,60.61,23.93,Eggplant
58.87,58.0,232.83,6.51,64.26,27.49,Chili
67.15,54.5,198.79,6.57,70.57,24.22,Chili
