Nitrogen,Potassium,Phosphorous,Temparature,Humidity,Moisture,Crop Type
10,0,6,29.94,62.39,35.14,Tobacco
27,2,20,25.72,60.71,43.46,Wheat
12,11,30,29.16,50.01,56.58,Maize
8,0,17,40,74.03,39.34,Paddy
37,3,0,27.65,55.35,34.36,Pulses
4,4,28,29.72,71.91,52.5,Tobacco
13,0,10,28.03,53.76,60.86,Wheat
25,0,19,29.86,59.28,62.62,Maize
38,1,0,32.86,62.77,31.22,Oil seeds
15,4,39,23.9,44.45,32.53,Barley
27,0,19,30.2,57.56,52.01,Wheat
18,3,17,26.86,61.34,45.62,Oil seeds
22,3,22,21.51,55.9,45.54,Maize
10,0,40,28.78,66.87,49.42,Millets
32,0,0,29.54,54.73,69.41,Pulses
26,1,17,35.77,58.62,25.35,Oil seeds
33,3,0,30.85,67.85,27.32,Ground Nuts
11,0,42,35.66,68.89,32.88,Oil seeds
3,18,17,30.37,61.22,43.8,Paddy
16,3,9,26.62,66.89,62.01,Oil seeds
13,0,36,33.88,72.42,32.65,Ground Nuts
7,0,38,40,79.99,35.61,Sugarcane
12,8,33,33.2,53.06,64.27,Sugarcane
34,0,0,27.05,50.17,43.61,Millets
37,2,0,25.34,51.56,38.67,Barley
8,1,40,34.03,61.12,35.57,Cotton
20,0,18,27.22,58.67,43.43,Tobacco
42,3,1,24.41,53.52,66.7,Millets
12,0,10,30.88,56.44,68.29,Maize
13,0,37,26.62,58.03,23.34,Ground Nuts
8,0,18,30.9,68.66,34.94,Wheat
21,2,14,32.61,63.84,45.4,Sugarcane
36,0,0,25.11,49.18,41.82,Paddy
15,2,38,31.05,52.85,37.01,Sugarcane
21,4,21,29.6,70.57,54.2,Sugarcane
39,0,0,23.25,48.93,24.15,Oil seeds
35,1,0,27.69,55.28,34.84,Ground Nuts
25,3,16,23.33,59.29,45.53,Tobacco
40,0,0,39.91,76.62,45.94,Millets
10,8,26,27.11,66.09,67.85,Wheat
12,11,26,27.18,59.42,53.2,Pulses
34,0,0,30.72,62.41,35.53,Barley
42,2,0,24.51,46.17,65.49,Sugarcane
17,2,19,35.48,55.43,28.66,Millets
16,0,26,33.63,71.51,43.87,Tobacco
17,0,40,35.39,65.38,54.92,Paddy
10,4,43,26.3,62.73,20,Millets
38,1,0,25.98,51.85,70,Pulses
12,9,23,28.26,50.41,34.56,Barley
16,4,40,35.36,69.36,54.93,Oil seeds
22,2,20,37.61,60.54,64.55,Maize
33,0,0,30.21,59.88,47.25,Paddy
34,2,2,35.04,69.99,33.2,Pulses
4,8,25,30.78,66.91,63.26,Oil seeds
12,0,9,30.9,52.93,43.05,Millets
11,0,39,38.8,74.45,38.5,Ground Nuts
39,0,0,29.07,73.52,52.71,Millets
18,2,19,29.8,52.93,39.95,Sugarcane
39,0,1,33.53,68.45,31.56,Sugarcane
42,4,0,35.43,73.21,53.28,Wheat
31,4,0,21.05,45.03,70,Cotton
39,2,4,27.48,47.09,27.89,Cotton
12,11,34,29.54,60.61,54.07,Sugarcane
23,0,23,38.11,69.4,54.47,Wheat
24,4,22,28.55,50.92,36.81,Oil seeds
12,8,11,35.38,55.86,42.48,Pulses
12,14,11,34.35,56.75,61.79,Tobacco
5,2,16,27.07,54.74,36.04,Tobacco
9,3,29,40,75.03,42.43,Pulses
13,17,11,26.28,48.37,65.31,Millets
34,0,0,36.48,63.87,20.37,Sugarcane
11,2,11,36.73,56.57,49.51,Millets
11,1,41,36.22,63.83,37.08,Tobacco
20,0,19,32.23,54.15,54.33,Sugarcane
35,1,0,40,74.84,47.75,Cotton
37,0,0,32.17,63.37,31.63,Ground Nuts
36,0,0,29.44,50.92,34.24,Barley
10,3,14,25.42,52.97,21.71,Paddy
7,1,8,29.19,61.81,48.68,Sugarcane
8,2,5,27.44,54.73,62.9,Maize
9,3,41,25.08,66.46,20.54,Millets
13,0,34,32.32,58.02,68.23,Sugarcane
12,14,18,28.86,61.44,55.03,Sugarcane
39,0,0,36.97,72.6,43.87,Ground Nuts
24,1,26,29.5,69.16,41.62,Cotton
7,10,30,31.36,52.48,65.81,Cotton
11,0,16,22.06,56.16,61.45,Tobacco
8,2,39,33.36,62.22,24.56,Millets
13,0,17,28.16,53.4,40.78,Millets
13,0,41,36.49,75.76,26.28,Wheat
12,0,8,37.5,64.03,58.94,Oil seeds
14,3,38,37.31,66.86,70,Tobacco
5,8,26,25.35,50.13,25.76,Maize
8,0,11,28.71,64.1,44.78,Maize
13,14,16,31.77,65.53,40.43,Cotton
19,0,25,30.79,63.59,37.55,Millets
38,2,3,26.02,48.46,37.47,Ground Nuts
24,2,16,29.34,72.39,39.94,Cotton
6,0,36,36.2,58.84,44.43,Millets
24,0,28,35.97,56.08,39.97,Sugarcane
20,0,23,21.93,47.19,41.85,Oil seeds
12,2,40,36.44,69.49,70,Ground Nuts
14,0,36,28.5,65.5,63.01,Oil seeds
4,14,15,28.75,45.15,32.3,Sugarcane
12,1,42,31.11,63.86,68.38,Paddy
10,2,43,26.43,45.04,30.14,Sugarcane
35,0,0,29,73.39,38.46,Wheat
10,0,37,37.55,62.6,24.11,Paddy
33,0,0,26.18,47.19,39.82,Barley
11,12,26,33.14,68.2,49.7,Paddy
6,14,10,27.37,46.45,46.45,Cotton
1,4,24,30.82,56.86,48.67,Pulses
43,3,0,31.92,67.01,48.12,Ground Nuts
13,5,30,33.98,51.19,32.23,Sugarcane
31,0,0,30.01,57.83,61.88,Tobacco
6,6,32,28.65,49.45,27.65,Ground Nuts
35,0,4,23.43,46.91,62.82,Pulses
8,15,19,35.77,60.14,36.61,Maize
15,14,16,38.55,58.08,53.88,Paddy
7,0,32,26.71,42.66,48.03,Millets
13,4,37,31.59,69.57,52.01,Tobacco
9,15,11,29.49,67.11,63.28,Oil seeds
26,2,18,32.29,56.56,63.14,Barley
9,10,30,25.89,52.78,32.13,Oil seeds
27,2,18,22.39,59.45,42.31,Pulses
11,0,12,24.48,64.32,40.94,Ground Nuts
40,0,0,30.09,52.45,34.93,Barley
21,0,24,30.67,44.15,46.13,Maize
7,7,29,29.46,64.44,26.19,Tobacco
3,9,30,34.69,71.9,21.7,Cotton
9,11,34,24.97,59.67,27.05,Paddy
40,0,1,24.87,56.1,31.14,Cotton
7,4,43,33.86,62.68,37.06,Paddy
10,5,24,33.35,53.25,64.49,Millets
5,10,32,27.73,53.14,25.75,Sugarcane
25,0,22,37.09,56.19,40.03,Paddy
38,1,1,26.19,61.82,26.83,Ground Nuts
15,0,37,24.93,67.58,47.18,Millets
11,2,39,33.39,71.79,31.6,Wheat
11,8,27,32.93,56.53,28.8,Maize
13,0,4,28.87,42.05,50.69,Oil seeds
20,3,27,36.94,53.17,24.98,Paddy
6,10,11,26.55,70.7,64.77,Cotton
18,9,14,26.48,49.62,32.7,Oil seeds
36,2,0,35.14,69.23,39.79,Ground Nuts
18,0,10,30.29,55.55,44.77,Wheat
7,0,7,21.54,43.75,56.74,Wheat
17,0,20,26.69,61.8,55.35,Paddy
8,7,25,37.94,60.1,56.48,Maize
10,3,10,20.53,53.88,68.8,Tobacco
5,4,14,30.62,46.34,61.19,Barley
7,22,14,24.14,45.84,44.84,Sugarcane
38,0,0,21.95,59.83,69.07,Wheat
20,0,19,34.26,69.87,24.2,Tobacco
14,0,38,24.98,67.9,70,Wheat
25,0,20,23,55.77,37.58,Sugarcane
11,16,15,30.49,59.19,51.04,Cotton
6,0,34,31.65,69.41,33.59,Millets
36,0,3,30.68,61.61,38.4,Paddy
16,0,13,22.27,53.67,28.01,Pulses
16,3,10,30.65,59.18,52.5,Paddy
14,0,40,27.86,59.92,36.56,Oil seeds
28,0,20,31.58,55.46,70,Wheat
6,16,21,26.73,56.88,29.16,Maize
8,0,6,27.32,69.77,41,Barley
36,0,2,31.49,69.94,50.94,Paddy
11,1,38,39.76,50.39,44.02,Wheat
11,5,32,28.09,68.54,27.88,Maize
9,10,29,33.22,67.49,46.8,Pulses
35,0,2,33.09,77.6,43.37,Maize
11,10,13,27.89,49.02,36.06,Millets
20,4,26,31.17,69.37,43.42,Sugarcane
6,0,9,31.53,56.66,34.79,Ground Nuts
6,4,34,36.4,62.17,27.49,Ground Nuts
13,4,40,35.25,53.22,40.74,Pulses
36,0,0,29.6,51.91,43.03,Sugarcane
6,7,25,31.32,65.36,47.86,Sugarcane
25,3,21,32.98,67.67,45.92,Barley
3,0,14,28.48,49.43,44.67,Barley
13,0,39,38.56,74.3,55.08,Oil seeds
8,3,29,28.02,48.84,51.42,Wheat
7,21,24,37.73,70.55,52.64,Paddy
21,0,19,27.7,62.14,37.45,Wheat
35,0,0,28.26,59.17,33.07,Pulses
21,0,23,23.32,60.72,41.52,Sugarcane
17,0,21,23.39,59.59,32.49,Millets
16,19,9,31.91,64.57,48.22,Sugarcane
25,0,21,29.26,60.97,49.42,Cotton
8,7,25,26.27,51.6,34.24,Wheat
26,0,16,32.53,56.56,54.29,Pulses
6,10,31,25.72,53.66,21.91,Barley
6,15,23,28.01,42.25,31.47,Maize
40,2,0,34.74,68.72,29.09,Tobacco
4,0,12,22.55,43.39,55.77,Millets
35,4,0,34.51,66.37,51.86,Paddy
8,18,8,38.69,71.21,50.84,Wheat
22,0,13,30.33,52.42,35.68,Wheat
8,11,18,28.97,59.55,36.01,Wheat
39,0,2,35.45,70.4,26.6,Maize
10,16,23,31.27,70.01,49.6,Sugarcane
7,9,31,23.79,63.74,20,Wheat
9,4,17,31.04,45.07,31.17,Millets
16,12,14,28.78,47.92,40.88,Pulses
17,3,37,35.87,54.52,43.39,Pulses
11,18,15,29.98,45.13,41.6,Tobacco
28,0,18,31.61,65.58,41.29,Oil seeds
37,0,0,36.29,68.59,62.11,Pulses
41,4,0,31.74,64.98,31.38,Paddy
38,4,0,24.78,60.16,32.61,Maize
15,0,13,32.21,54.41,61.25,Maize
10,10,30,39.02,65.96,31.19,Cotton
38,2,0,27.01,57.18,41.37,Barley
37,2,3,25.91,59.25,20.86,Ground Nuts
40,3,4,29.51,57.2,41.79,Cotton
9,9,33,26.13,52.53,60.62,Maize
26,0,26,30.54,60.14,32.76,Sugarcane
23,0,22,31.78,66.16,38.27,Maize
24,0,19,22.1,52.62,42.41,Paddy
8,0,5,28.89,52.69,65.95,Pulses
7,19,11,23.98,55.96,30.85,Wheat
44,0,0,35.61,66.92,54.5,Sugarcane
7,19,17,30.52,54.37,41.46,Cotton
13,8,28,31.74,53.09,66.97,Cotton
11,0,42,29.78,73.97,57.26,Paddy
40,0,3,32.94,74.58,61.13,Paddy
17,2,37,38.5,58.84,52.22,Cotton
14,0,44,40,77.51,44.13,Paddy
2,6,33,31.51,69.17,49.11,Sugarcane
11,0,43,31.94,71.92,36.07,Maize
12,4,38,36.44,61.1,60.46,Millets
46,3,4,31.24,49.93,37.99,Maize
7,9,28,37.02,71.06,58.82,Oil seeds
43,2,0,37.22,61.58,47.35,Ground Nuts
7,21,18,32.45,68.21,21.16,Ground Nuts
12,0,12,38.94,73.94,64.07,Maize
13,9,22,32.45,52.61,41.79,Sugarcane
40,0,0,27.9,61.55,43.02,Tobacco
26,0,17,32.41,66.99,33.52,Barley
13,9,12,37.99,74.34,48.62,Wheat
10,14,17,25.88,57.09,44.64,Cotton
42,2,0,30.87,56.76,45.95,Oil seeds
36,4,0,28.55,43.74,27.1,Barley
6,17,11,31.83,58.92,38.28,Pulses
21,1,21,25.38,60.27,32.65,Tobacco
13,0,39,33.48,78.42,32.25,Paddy
8,2,10,30.79,61.19,66.13,Oil seeds
42,0,0,38.37,71.47,41.35,Paddy
37,0,1,38.52,65.09,55.29,Sugarcane
36,0,0,32.42,57.29,59.35,Maize
10,0,38,33.54,62.45,27.73,Maize
21,0,26,22.94,55.21,33.2,Sugarcane
36,0,4,34.64,54.07,30.24,Ground Nuts
10,1,12,27.18,54.31,58.77,Oil seeds
42,4,0,36.75,74.17,53.07,Millets
16,0,39,25.18,55.87,41.76,Pulses
15,3,41,35.59,76.91,52.53,Millets
26,3,27,28.46,53.05,34.92,Pulses
38,0,4,23.72,61.19,42.73,Pulses
10,0,40,38.08,63.07,27.4,Cotton
25,0,23,32.68,69.24,30.61,Ground Nuts
9,22,11,27.23,45.13,46.5,Millets
41,0,0,25.56,62.96,24.11,Tobacco
14,0,3,23.23,56.75,26.54,Wheat
4,10,32,32.08,56.04,57.99,Sugarcane
8,5,26,33.03,57.81,20.71,Tobacco
6,6,34,28.27,61.15,25.82,Oil seeds
17,2,39,25.2,60.8,40.83,Cotton
34,1,2,32.37,57.03,65.34,Paddy
21,0,23,32.77,65.31,56.5,Sugarcane
8,0,39,27.51,61.14,61.53,Pulses
5,9,27,36.35,64.04,65.28,Barley
25,0,18,20.36,57.7,38.39,Ground Nuts
7,15,18,33.04,52.2,21.85,Millets
3,6,26,35.94,62.93,28.98,Barley
37,0,0,25.69,61.45,23.95,Tobacco
36,2,4,27.55,59.01,28.77,Ground Nuts
12,2,38,38.84,74.14,70,Ground Nuts
11,2,10,32.3,62.68,41.53,Sugarcane
35,3,0,34.98,76.76,43.81,Barley
12,1,35,25.16,56.14,61.08,Pulses
7,14,14,38.09,65.45,47.28,Barley
18,0,15,37,70.38,34.26,Pulses
41,4,0,32.35,63.44,24.13,Cotton
24,0,22,32.28,67.55,49.48,Pulses
25,0,24,34.57,53.65,30.56,Ground Nuts
8,9,25,32.83,60.9,30.93,Cotton
12,0,7,31.17,67.47,56.61,Tobacco
20,0,16,35.93,63.52,47.76,Wheat
11,15,10,35.88,65.43,51.08,Oil seeds
40,0,4,23.9,50.65,40.95,Ground Nuts
25,2,20,32.3,58.56,36.13,Millets
6,16,17,29.21,68.29,33.86,Pulses
8,0,32,34.78,74.96,23.1,Oil seeds
39,0,0,33.65,59.37,58.73,Oil seeds
13,1,14,28.58,62.64,30.24,Cotton
8,0,6,30.6,46.79,28.45,Maize
12,3,31,31.13,61.96,56.93,Pulses
12,4,16,35.66,64.66,38.16,Pulses
40,0,0,38.02,73.39,34.53,Barley
9,11,17,26.7,42.56,25.82,Tobacco
9,0,12,30.06,56.63,49.63,Ground Nuts
44,0,0,32.38,67.07,45.41,Cotton
24,0,19,30.11,55.41,33.96,Millets
8,0,14,40,66.23,24.12,Paddy
23,4,18,28.18,56.88,55.26,Cotton
10,0,32,28.93,52.02,34.13,Cotton
7,10,25,32.94,60.02,33,Ground Nuts
1,10,28,30.05,71.84,55.66,Millets
10,0,12,30.5,66.54,39.44,Tobacco
16,0,37,36.14,63.53,29.95,Ground Nuts
15,0,42,29.07,58.16,32.93,Sugarcane
38,1,2,34.84,63.19,45.19,Sugarcane
37,4,0,34.61,67.29,36.72,Millets
36,3,0,26.2,53.65,56.71,Maize
12,0,10,33.91,63.82,41.45,Wheat
38,2,0,34.79,61.91,46.9,Wheat
37,0,4,26.74,57.16,20,Millets
4,0,18,32.91,56.48,45.87,Millets
14,3,6,24.06,65.78,58.11,Cotton
10,3,29,33.94,69.64,41.55,Paddy
17,2,32,27.16,54.78,41.9,Pulses
14,14,13,35.04,69.13,59.45,Sugarcane
24,0,21,26.78,53.14,37.57,Pulses
3,9,37,26.4,65.11,55.15,Pulses
16,0,8,30.74,54.35,61.21,Cotton
21,0,23,36.75,59.8,37.97,Sugarcane
15,4,30,25.11,48.12,62.98,Pulses
38,2,1,38.91,64.93,39.42,Pulses
28,4,20,26.05,58.12,35.26,Pulses
13,0,36,34.2,64.85,39.67,Maize
35,3,1,28.76,50.58,38.28,Oil seeds
12,12,28,34.06,71.7,43.15,Barley
11,13,27,26.51,56.57,20,Ground Nuts
3,15,24,21.36,56.53,34.78,Maize
7,8,24,28.11,45.27,48.25,Paddy
38,0,3,22.72,44.19,24.65,Pulses
21,3,18,22.54,52.75,31.79,Millets
24,0,22,24.5,42.83,57.23,Cotton
14,19,23,34.26,72.48,43.81,Ground Nuts
13,1,39,36.19,77.04,57.3,Ground Nuts
14,0,13,21.14,58.75,31.2,Maize
14,0,36,24.28,50.9,34.64,Millets
18,0,43,25.06,56.22,22.4,Millets
5,1,16,30.21,50.79,37.79,Barley
37,0,1,30.32,58.2,37.68,Tobacco
8,0,33,35.17,60.97,34.42,Ground Nuts
8,1,11,29.63,58.39,64.42,Barley
38,0,0,31.41,50.97,45.98,Millets
15,0,37,34.17,71.47,70,Tobacco
37,1,3,38.62,65.2,36.37,Tobacco
12,5,35,32.84,66.47,69.01,Sugarcane
7,16,9,30.87,74.24,62.38,Maize
41,0,3,26.02,52.58,39.77,Sugarcane
13,3,11,31,64.07,51.2,Wheat
20,2,18,30.47,58.88,38.22,Pulses
36,0,0,30.33,54.91,37.16,Millets
43,0,0,24.62,63.54,33.9,Wheat
6,11,29,34.5,61.62,61.48,Cotton
13,12,24,34.45,61.44,70,Sugarcane
34,0,3,28.91,60.07,39.93,Barley
41,4,2,31.57,53.14,20.33,Oil seeds
32,0,0,26.19,63.76,35.68,Millets
8,6,14,25.14,48.37,28.64,Millets
9,0,36,38.41,74.99,25.39,Maize
12,0,37,29.57,70.26,37.15,Millets
24,0,18,33.72,54.21,47.29,Oil seeds
13,1,39,33.3,57.9,57.26,Pulses
36,3,0,29.6,58.3,44.4,Wheat
40,2,3,27.83,60.88,29.59,Sugarcane
17,0,39,24.31,49.48,27.55,Millets
35,1,0,31.77,46.28,45.72,Cotton
10,13,22,28.65,59.24,40.45,Barley
9,13,29,30.23,72.24,57.55,Cotton
17,4,10,23.86,56.94,45.96,Paddy
0,15,10,24.03,59.41,55.3,Cotton
22,4,22,32.86,54.42,41.19,Ground Nuts
1,13,13,31.58,60.79,41.51,Barley
5,11,17,29.38,67.36,40.79,Tobacco
45,0,0,34.45,66.86,35.97,Maize
22,0,18,29.34,42.41,44.03,Tobacco
14,1,18,40,62.24,42.28,Pulses
23,1,13,31.51,63.07,38.77,Ground Nuts
32,1,0,27.67,45.92,36.55,Sugarcane
44,1,0,28.12,45.77,43.16,Ground Nuts
19,4,21,30.04,45.43,37.77,Maize
16,3,42,28.79,73.96,35.13,Wheat
11,13,16,31.74,63.18,24.75,Maize
22,1,20,36.76,59.74,39.36,Wheat
6,0,7,26.29,47.4,68.32,Pulses
3,14,20,25.37,50.94,25.52,Sugarcane
8,0,42,25.49,59.63,68.9,Barley
39,0,0,28.88,55.01,36.26,Pulses
18,3,41,34.53,58.86,52.25,Oil seeds
10,0,38,29.73,44.95,36.64,Sugarcane
17,0,43,30.05,59.14,39.13,Ground Nuts
41,2,0,30.67,61.01,35.65,Oil seeds
9,2,35,24.3,53.62,60.71,Sugarcane
27,0,15,37.7,56.61,57.93,Wheat
9,11,21,27.09,48.1,39.39,Ground Nuts
33,0,2,28.02,43.47,37.43,Sugarcane
21,1,19,34.62,64.2,39.87,Millets
11,3,36,33,72.49,26.85,Millets
33,0,2,37.48,74.71,50.16,Wheat
42,4,0,40,80,55.43,Paddy
17,0,39,33.47,62.71,36.43,Sugarcane
17,0,21,24.91,47.48,32.77,Pulses
41,1,0,30.89,57.6,53.41,Maize
24,0,14,25.22,53.11,39.07,Tobacco
17,0,38,30.68,66.46,37.19,Sugarcane
12,11,32,27.33,64.51,61.53,Millets
13,4,6,29.96,54.53,67.99,Ground Nuts
4,15,14,32.99,50.56,44.4,Sugarcane
15,0,41,36.5,76.58,69.11,Oil seeds
9,3,8,24.59,51.79,70,Paddy
14,0,7,28.14,64.83,42.85,Wheat
18,4,17,31.92,57.22,51.32,Millets
34,0,1,36.21,57.4,64.18,Oil seeds
27,0,20,29.54,58.68,37.33,Paddy
8,0,8,37.62,54.26,47.98,Sugarcane
11,1,12,23,53.85,26.32,Cotton
33,3,0,33.55,58.99,28.88,Paddy
5,16,13,25.2,54.36,56.57,Barley
40,0,0,28.1,57.31,69.25,Millets
7,9,32,26.32,61.03,28,Oil seeds
11,4,28,36.26,72.92,70,Barley
4,7,26,36.08,67.07,39.77,Cotton
45,0,0,26.61,51.72,36.01,Ground Nuts
24,1,24,22.55,57.45,46.58,Paddy
13,20,20,35.44,68.66,47.39,Wheat
13,3,28,31.47,64.11,65.21,Sugarcane
33,4,1,23.45,48.04,34.71,Sugarcane
11,5,26,32.95,47.81,36.46,Cotton
19,0,23,35.89,69.26,56.39,Tobacco
14,19,23,32.33,75.18,40.55,Sugarcane
16,0,42,38.98,58.36,50.55,Tobacco
27,0,19,33.44,62.95,26.99,Pulses
38,0,3,25,43.01,70,Maize
24,0,27,29.95,70.97,49.89,Tobacco
8,0,8,28.47,63.69,51.32,Cotton
37,0,0,37.78,67.61,42.9,Tobacco
15,9,6,20.85,59.67,27.39,Ground Nuts
9,8,25,34.47,55.91,64.25,Paddy
40,1,0,22.37,49,70,Paddy
11,0,12,22.29,47.57,66.46,Oil seeds
36,0,0,25.06,59.78,44.6,Millets
22,2,19,30.44,62.39,67.03,Pulses
18,0,21,24.39,43.91,36.11,Cotton
37,0,0,36.89,69.58,42.28,Cotton
5,5,34,30.22,50.85,59.57,Wheat
35,0,3,36.69,78.73,43.49,Oil seeds
21,0,21,29.5,42.7,52.43,Tobacco
38,2,0,36.74,61.86,29.3,Wheat
33,2,0,29.86,61.53,51.88,Millets
8,0,17,26.18,44.54,66.14,Wheat
5,10,28,24.23,54.33,34.93,Tobacco
10,3,6,25.05,64.63,47.88,Pulses
12,16,11,29,57.95,20.71,Oil seeds
11,1,36,39.5,59.87,52.35,Oil seeds
6,11,34,27.46,66.87,26.04,Maize
10,15,17,31.41,56.68,46.38,Paddy
37,1,0,26.18,54.54,46.83,Tobacco
38,0,4,31.52,51.09,41.27,Oil seeds
10,1,39,35.22,76.59,24.21,Oil seeds
19,0,45,37.69,54.05,40.24,Pulses
12,3,32,27.77,54.61,46.77,Wheat
26,0,21,32.86,65.21,45.16,Sugarcane
11,13,17,28.3,60.42,55.44,Paddy
12,0,37,34.98,64.48,51.57,Tobacco
42,3,0,39.31,59.72,40.8,Cotton
11,3,33,27.41,48.69,52.62,Wheat
15,0,12,29.89,59.26,51.55,Cotton
26,0,18,34.05,71.7,24.22,Pulses
34,2,0,23.91,43.52,39.54,Sugarcane
36,0,0,32.24,49.43,40.27,Cotton
13,2,37,36.98,53.44,24.52,Pulses
18,4,36,30.83,50.49,61.71,Oil seeds
9,0,37,27.06,51.39,53.38,Cotton
6,0,34,38.7,65.81,23.13,Wheat
11,6,11,30.9,55.65,30.7,Ground Nuts
21,0,24,27.98,46.24,47.68,Maize
9,4,16,38.27,60.33,37.69,Cotton
8,13,16,28.07,52.91,43.54,Tobacco
2,15,20,38.99,59.31,46.91,Ground Nuts
12,0,14,35.18,73.86,61.58,Cotton
4,12,36,29.63,51.13,59.87,Tobacco
17,0,38,26.44,66.93,58.88,Barley
10,0,18,32.97,76.36,35.98,Pulses
14,0,38,32.59,52.77,67.32,Wheat
9,8,24,40,61.28,57.03,Paddy
22,1,26,35.08,60.37,45.69,Barley
17,0,7,33.46,60.65,34.68,Cotton
19,0,21,32.95,66.06,24.22,Millets
11,0,12,27.46,63.08,52.97,Cotton
10,1,37,40,56.21,37.48,Ground Nuts
12,2,27,30.85,53.02,26.39,Wheat
40,3,2,24.58,43.05,67.17,Millets
10,0,32,32.99,64.5,30.16,Paddy
9,3,39,24.83,48.37,49.51,Pulses
5,13,15,30.82,56.4,56.14,Paddy
12,2,34,33.65,64.1,41.88,Maize
11,12,21,27.99,52.83,35.74,Ground Nuts
19,14,13,22.87,44.91,24.78,Barley
21,0,15,29.95,68.13,38.6,Sugarcane
12,0,37,39.25,76.98,28.94,Ground Nuts
9,20,12,29.82,66.85,23.96,Tobacco
42,4,0,26.66,63.18,32.47,Tobacco
36,4,0,30.12,47.45,64.3,Tobacco
26,1,17,28.82,53.22,38.74,Ground Nuts
39,0,4,23.42,54.77,33.63,Paddy
17,0,37,28.45,62.42,52.98,Ground Nuts
11,0,15,24.76,58.45,38.36,Wheat
19,3,27,31.65,56.41,30.22,Paddy
39,4,4,23.2,46.23,65.9,Wheat
13,13,11,33.52,60.5,52.77,Oil seeds
13,8,28,31.19,51.5,20,Cotton
40,2,4,27.52,51.39,46.96,Wheat
6,17,21,30.46,57.09,32.66,Tobacco
25,1,19,34.36,64.55,38.08,Pulses
19,1,36,32.14,57.35,49.7,Tobacco
10,21,23,36.81,60.97,46.15,Pulses
20,3,16,30.15,59.21,25.04,Pulses
21,1,17,29.77,63.09,47.01,Sugarcane
36,0,3,30.24,51.96,38.03,Pulses
3,17,19,24.97,47.28,41.8,Pulses
15,0,16,26.34,61.87,22.93,Maize
9,1,41,37.17,73.45,62.33,Millets
9,3,39,29.78,65.45,39.96,Paddy
5,9,33,30.05,61.94,57.63,Tobacco
40,1,4,23.59,54.55,43.39,Ground Nuts
8,0,5,22.2,55.19,60.43,Wheat
11,4,46,29.33,58.97,42.02,Cotton
11,4,18,28.33,61.2,58.57,Wheat
20,3,16,34.24,61.19,31.95,Maize
4,3,15,29.04,73.52,60.4,Oil seeds
15,3,38,32.64,52.05,29.73,Pulses
39,0,3,38.51,72.73,54.65,Paddy
37,2,3,26.36,58.22,35.11,Tobacco
34,0,0,26.86,60.39,30.72,Maize
12,0,18,28.96,54.55,40.7,Tobacco
17,0,39,31.35,64.03,52.01,Cotton
13,0,13,20.03,52.64,70,Sugarcane
15,14,14,37.86,61.26,47.91,Barley
8,0,34,34.3,73.98,23.5,Pulses
20,0,13,28.75,65.85,40.56,Ground Nuts
45,0,2,34.35,68.28,37.3,Wheat
3,10,37,29.5,58.68,59.82,Oil seeds
37,2,0,23.09,47.76,36.04,Barley
9,8,31,31.45,59.17,41.86,Maize
8,12,10,29.76,68.21,44.33,Wheat
13,0,4,23.9,52.22,35.06,Cotton
19,0,23,31.65,58.98,60.38,Wheat
14,0,37,32.72,68.34,67.2,Barley
17,0,40,39.16,69.41,37.45,Tobacco
12,4,38,30.58,57.79,62.55,Sugarcane
10,0,10,24.24,61.14,60.21,Wheat
19,0,20,36.13,58.84,40.14,Paddy
9,19,18,33.8,67.31,32.57,Paddy
13,0,12,22.83,48.52,61.42,Tobacco
2,14,20,27.46,63.46,32.44,Oil seeds
11,2,8,23.99,49.61,27.08,Millets
13,8,35,32.35,69.35,54.59,Oil seeds
41,0,0,32.05,53.97,35.02,Millets
38,2,0,23.89,51.43,32.44,Ground Nuts
23,1,23,25.23,47.76,41.74,Pulses
27,0,17,25.04,45.85,51.39,Tobacco
34,0,3,22.58,47.54,39.32,Ground Nuts
26,2,24,30.78,72.03,70,Maize
34,3,0,28.14,44.5,35.74,Paddy
23,0,18,36.75,61.32,50.32,Ground Nuts
41,0,0,34.03,59.52,31.77,Sugarcane
12,8,29,29.35,59.63,48.74,Tobacco
13,4,42,36.54,74.27,38.52,Ground Nuts
16,0,15,29.01,55.34,29.06,Millets
8,0,13,34.65,60.23,61.23,Ground Nuts
6,10,29,34.12,72.45,52.22,Ground Nuts
39,0,3,23.2,51.15,44.35,Cotton
11,8,14,30.61,56.22,43.7,Maize
16,1,34,34.29,62.12,28.36,Wheat
44,0,2,27.72,52.05,49.01,Maize
35,3,4,27.44,55.79,34.2,Ground Nuts
7,7,37,30.48,54.04,50.81,Tobacco
21,0,21,30.94,58.19,66.53,Sugarcane
13,0,35,36.87,73.12,54.53,Barley
24,0,17,35.05,70.45,42.95,Millets
19,4,26,35.26,55.7,38.7,Millets
16,3,27,30.84,54.44,38.5,Wheat
10,8,11,25.41,56.57,63.78,Paddy
13,8,32,31.29,48.4,35.57,Barley
8,0,10,33.77,70.96,30.96,Maize
20,0,22,22.79,44.82,36.75,Sugarcane
18,0,38,35.39,55.43,61.72,Oil seeds
9,0,38,32.69,67.2,30.23,Barley
12,0,32,29.04,52.28,61.27,Maize
18,0,25,30.97,52.6,49.95,Wheat
6,18,20,26.51,54.41,25.69,Tobacco
5,5,28,24.14,65.95,36.58,Millets
12,1,36,29.44,59.33,21.43,Cotton
